# ID        V        eV      rV_1     VR      eVR     VI      eVI     col2        col3       Plx       pmRA      pmDE     
  5214725   17.743   0.159   -0.413   0.892   0.196   2.14    0.203   80.446876   8.326662   -0.3231   1.787     -3.851   
  5214752   11.73    0.003   0.195    0.658   0.004   1.579   0.004   80.448025   8.315384   1.9784    0.284     -7.352   
  5214523   17.833   0.164   -1.048   1.017   0.197   2.126   0.21    80.438468   8.373131   0.1504    3.21      -2.49    
  5220737   15.509   0.025   -0.399   0.916   0.033   2.003   0.038   80.53072    8.371063   0.5203    -1.5      -1.197   
  5220879   16.533   0.073   -1.044   1.03    0.085   2.333   0.083   80.536652   8.319302   0.3006    0.461     0.06     
  5220714   15.622   0.029   -0.682   0.956   0.038   2.046   0.04    80.529763   8.374005   0.3793    1.7       -1.287   
  5220711   18.385   0.325   -1.979   1.214   0.376   2.878   0.353   80.529632   8.330405   1.8304    16.642    -12.884  
  5220443   17.223   0.102   -0.711   0.775   0.133   1.893   0.144   80.518475   8.320514   -0.3399   4.64      -11.744  
  5220945   13.763   0.008   0.024    0.708   0.011   1.673   0.012   80.53939    8.371143   0.4731    -0.13     0.118    
  5221358   16.109   0.043   -0.69    0.989   0.054   2.15    0.056   80.55661    8.322215   0.8854    -2.366    -3.748   
  5221373   16.279   0.05    0.018    0.692   0.065   1.719   0.075   80.557211   8.369056   0.0471    0.932     -0.45    
  5221459   16.794   0.077   -2.158   1.275   0.088   3.253   0.081   80.560802   8.350564   4.2427    15.735    3.705    
  5221384   16.412   0.056   -0.164   1.213   0.064   2.564   0.064   80.557689   8.108709   0.172     1.289     0.696    
  5221366   17.581   0.156   -1.348   1.091   0.187   2.306   0.191   80.556948   8.352628   0.2802    3.691     -4.255   
  5220371   15.329   0.022   1.668    0.91    0.028   1.951   0.03    80.515487   7.886469   1.0065    3.439     0.357    
  5221242   14.424   0.012   -1.074   1.042   0.014   2.303   0.016   80.551772   8.34467    0.4142    -1.124    -2.698   
  5221138   15.492   0.033   -0.967   0.962   0.039   2.218   0.039   80.547419   8.357368   0.6832    6.827     -10.268  
  5220394   15.834   0.031   -0.39    0.788   0.042   1.8     0.05    80.516434   8.321927   0.3802    0.348     -2.2     
  5220662   17.357   0.127   -2.059   1.532   0.138   3.089   0.134   80.527614   8.349958   -1.4542   -1.601    -3.206   
  5220364   13.556   0.007   -0.611   0.83    0.009   1.854   0.01    80.515183   7.681231   0.4718    2.605     1.165    
  5220261   14.999   0.016   -0.326   0.865   0.022   1.889   0.024   80.510912   8.32963    0.9482    -1.458    -3.979   
  5220040   16.145   0.037   -0.311   0.859   0.05    1.919   0.055   80.50168    8.37233    0.2912    3.165     1.601    
  5220225   13.821   0.007   -0.065   0.735   0.01    1.737   0.011   80.509416   8.327038   0.5036    5.982     -4.128   
  5220131   15.141   0.018   -0.88    0.974   0.023   2.171   0.023   80.505465   8.344291   0.0885    1.173     -1.284   
  5222633   17.572   0.13    -2.888   1.27    0.152   2.916   0.144   80.609721   8.084083   0.5689    1.125     -2.041   
  5221766   16.492   0.055   -1.368   1.12    0.066   2.517   0.065   80.573615   8.345835   0.5395    0.268     -3.638   
  5221854   16.434   0.049   -1.369   1.257   0.06    2.49    0.058   80.57726    8.315331   1.2039    -12.843   2.816    
  5221806   17.122   0.096   -0.665   0.705   0.129   1.942   0.142   80.575289   8.368518   -0.1954   2.31      -1.993   
  5221621   18.803   0.409   -2.362   1.39    0.457   2.81    0.442   80.567569   8.354652   2.5939    5.413     -12.047  
  5221631   18.37    0.298   -2.935   0.468   0.441   2.457   0.343   80.567985   7.831153   2.0053    8.086     17.334   
  5222804   16.695   0.069   -0.745   0.87    0.089   2.113   0.085   80.616856   8.355352   0.0984    -0.679    -1.191   
  5221924   13.8     0.008   -0.99    1.03    0.01    2.274   0.01    80.580187   8.341744   1.1539    6.427     -2.018   
  5222297   15.291   0.019   -0.71    0.955   0.026   2.129   0.025   80.595731   8.368317   1.1045    7.149     1.715    
  5222049   17.062   0.094   -0.671   1.098   0.115   2.161   0.118   80.585416   8.356531   0.3051    -0.256    -0.733   
  5222461   16.414   0.052   -0.278   0.904   0.067   1.869   0.075   80.602557   8.368669   0.2869    0.365     -0.284   
  5222602   15.795   0.033   -1.271   1.121   0.039   2.688   0.038   80.60843    8.367802   ""        ""        ""       
  5222511   16.882   0.07    -0.409   0.944   0.096   2.063   0.11    80.604651   8.35508    0.4908    0.611     1.381    
  5222801   17.121   0.12    -1.574   1.439   0.133   3.152   0.124   80.616737   8.21326    0.3999    1.756     -1.195   
  5222772   15.583   0.026   -1.055   1.042   0.033   2.301   0.032   80.615541   8.345196   0.8422    13.947    4.486    
  5222439   16.623   0.072   -0.93    1.004   0.085   2.336   0.082   80.601655   8.365277   0.3586    -1.306    1.104    
  5221564   17.461   0.115   -1.307   0.928   0.149   2.125   0.157   80.565177   8.206589   0.0907    1.542     -2.497   
  5222302   15.433   0.024   -0.226   0.751   0.033   1.804   0.037   80.595942   8.373817   0.2096    -1.295    -1.621   
  5221514   16.309   0.049   -0.206   0.836   0.06    1.94    0.07    80.563087   8.370625   0.399     1.123     0.989    
  5222771   18.04    0.306   -2.388   1.507   0.326   3.37    0.317   80.61549    8.330052   3.8745    -4.534    -12.791  
  5223000   15.313   0.019   -0.377   0.832   0.028   1.904   0.029   80.625037   8.362418   0.3837    1.302     -3.665   
  5212621   18.363   0.274   -2.734   1.511   0.304   3.69    0.28    80.359233   8.411514   2.2401    4.887     -7.552   
  5211745   17.628   0.147   -5.754   0.94    0.182   2.251   0.179   80.32271    8.129362   1.0538    -3.395    -5.386   
  5212798   15.889   0.033   -0.596   0.961   0.04    2.048   0.043   80.366589   8.41386    0.3355    2.203     -2.279   
  5211725   13.634   0.007   2.874    0.844   0.009   1.954   0.01    80.321906   7.868007   -0.229    1.617     0.482    
  5211740   14.513   0.012   -3.934   0.748   0.016   1.795   0.017   80.322532   8.221093   1.2802    -5.101    -9.966   
  5211781   17.74    0.133   -1.417   1.124   0.159   2.375   0.173   80.324212   8.413323   0.9845    4.97      -3.266   
  5212274   15.853   0.031   -0.392   0.797   0.04    1.924   0.043   80.344782   8.426465   0.2344    0.809     0.874    
  5212372   18.467   0.312   -2.31    0.972   0.365   3.024   0.33    80.34885    8.427611   2.0094    -1.255    -2.344   
  5211638   17.458   0.111   -0.917   0.797   0.151   2.201   0.146   80.318276   8.414129   0.541     0.915     -2.038   
  5212073   17.224   0.091   -1.082   1.24    0.108   2.528   0.107   80.336406   7.554826   -0.8072   2.322     -2.34    
  5212972   15.349   0.019   -0.882   1.014   0.025   2.163   0.026   80.373838   8.435226   1.2869    -2.902    -0.945   
  5211920   16.736   0.066   -1.081   1.001   0.079   2.249   0.082   80.330018   8.38847    -0.0111   1.813     -0.465   
  5211942   17.283   0.107   -2.75    1.632   0.116   3.676   0.109   80.330947   8.394333   ""        ""        ""       
